"value","mes","year","paragraph"
"At its monetary policy meeting in June 2015, the Central Bank decided to keep its monetary policy interest rate at 5.00% per annum.","06","15",1
"The decision on the reference rate was adopted after analyzing the national macroeconomic panorama, especially the balance of risks around the inflation projections and the expectations of the private sector, as well as the relevant international environment for the Dominican economy. Indeed, the interannual rate of inflation in the month of May amounted to 0.23%, while in cumulative terms inflation stood at 0.19% at the end of that month.","06","15",2
" Likewise, core inflation, related to the monetary conditions of the economy, was 2.33% year-on-year in May. The projections continue to indicate that inflation would remain below the lower limit of the target established in the Monetary Program for 2015, converging to the center of the objective level of 4.0% <U+00B1> 1.0% in the monetary policy horizon.","06","15",3
"In the external sphere, the year-on-year growth of the United States of America (USA) in the first quarter of the year was corrected from a preliminary estimate of 2.4% to 2.9% in the month of June. However, the recent evolution of growth has led to a downward revision of the forecasts of the Consensus Forecast. In that sense, the US growth forecast was revised from 2.5% to 2.2% for 2015, while a recovery of around 2.8% is expected for 2016.","06","15",4
"According to this source, the growth projections for the Euro Zone are around 1.5%. However, there is uncertainty as to the outcome of the crisis situation in Greece, which could have a negative impact on the European economy. The projections for Latin America were revised down from 0.4% to 0.3%, while Asia is expected to grow around 4.7% this year. In the last month, international financial conditions have been restricted, while the dollar has tended to appreciate. The price of oil would remain below the levels of recent years, at least until 2016.","06","15",5
"In the domestic sphere, the economy evolves according to the projections. The cycle trend of the monthly indicator of economic activity (IMAE) shows a growth rate of 6.1% at the end of April. In the same way, the annual growth rate of credit to the private sector in national currency expanded by around 12.0% in June, in year-on-year terms.","06","15",6
"It is expected that the dynamism of credit will continue to strengthen as the transmission mechanism of recent decisions to reduce the monetary policy interest rate (MPR) to the active interest rate is completed. It should be noted that the impact of the reductions in the MPR on the active rate would be even greater taking into account the latest resolution of the Monetary Board to allow the use of resources from the legal reserve for low-cost housing solutions. It is important to note that since the MPR was reduced for the first time, the weighted average of the active rate has fallen more than 175 basis points in the financial system.","06","15",7
"On the side of fiscal policy, the rate of growth of incomes has exceeded the rate of expansion of public spending so far this year, obtaining a primary surplus above the one established in the 2015 National Budget of 0.4% of GDP. Likewise, external accounts are evolving satisfactorily, projecting a current account deficit of the Balance of Payments around 2.0% of GDP for the end of the year. This trend in external accounts will contribute to maintaining the relative stability of the exchange rate, while the BCRD continues with its process of accumulation of international reserves.","06","15",8
"The BCRD reaffirms its commitment to implement monetary policy aimed at achieving its inflation target, while continuing to monitor the evolution of the world economy and the domestic situation, in order to take the necessary measures against risks on price stability and the proper functioning of the financial and payment systems.","06","15",9
"The Central Bank of the Dominican Republic (BCRD), in its Monetary Policy Meeting of June 2016, decided to maintain the MPR at an annual 5.0%.","06","16",1
"The decision on the reference interest rate takes into account that both forecast models and market expectations predict that inflation would converge to the lower limit of the target by the end of this year. In May, the year-on-year inflation rate stood at 1.71%, influenced by inflation of 0.25% in the month, accumulating a variation rate of the consumer price index of -0.42% in the first five months of the year. year. Core interannual inflation stood at 1.56%.","06","16",2
"In the external context, the international financial markets experienced volatility after the decision of the voters of the United Kingdom to vote in favor of the exit of their country from the European Union, the so-called Brexit. The uncertainty caused by this decision led the Consensus Forecast to make downward adjustments to its economic growth forecasts for the Euro Zone from 1.6% to 1.5% in 2016, and from 1.6% to 1.0% in 2017, while for the United States of America (USA), the expected effect would be more moderate, going from 1.9% to 1.8% in 2016 and from 2.3% to 2.1% in 2017. The greatest impact of Brexit would be received by the United Kingdom itself, whose exports The rest of Europe is close to 50% while its imports to this region amount to 7.0%. This has led to the expectations of economic growth in the United Kingdom to be reduced from 1.9% to 1.4% in 2016.","06","16",3
"In the international markets, the appreciation of the US dollar continues. Long-term interest rates in some of the developed economies continue to show a downward trend, while the price of oil has reached around US $ 50 per barrel. As for the price of gold, it is currently growing and is placed above US $ 1,300 an ounce, its highest level so far this year.","06","16",4
"In the domestic sphere, economic activity and domestic demand maintain a positive behavior. In effect, the Monthly Index of Economic Activity (IMAE) grows 7.0% in the period January-May in year-on-year terms, rate above the growth of the potential product. Credit to the private sector in national currency as of June grew around 11.6% year-on-year, higher than the nominal product of the economy.","06","16",5
"With regard to fiscal policy, the Central Government is expected to comply with the forecasts of a budget deficit of around 2.3% of GDP by the end of the year. Likewise, the external sector would present a current account deficit of around 1.9% of GDP in 2016. Under this context, the exchange market would remain relatively stable and would continue to facilitate the accumulation of international reserves during the current year.","06","16",6
"The Central Bank of the Dominican Republic reaffirms its commitment to conduct monetary policy to achieve its inflation target, while continuing to monitor the evolution of the world economy and the domestic situation in order to adopt new measures in the face of stability risks. of prices and the proper functioning of the financial and payment systems.","06","16",7
"At its monetary policy meeting in June 2017, the Central Bank of the Dominican Republic (BCRD) decided to keep its monetary policy interest rate at 5.75% per annum.","06","17",1
"The decision regarding the reference rate took into account the balance of risks around inflation forecasts and market expectations, as well as the evolution of the main national macroeconomic indicators and the relevant international environment for the Dominican economy. As of May, the interannual rate of inflation fell to 3.11%, remaining within the target range of 4% <U+00B1> 1% established in the Monetary Program. Accumulated inflation in the first five months of the year was reduced to 0.96%. On the other hand, core inflation, related to monetary conditions, amounted to 2.20%. According to the most recent projections, inflation would remain within the target range in the monetary policy horizon.","06","17",2
"In the international context, the economy of the United States of America (USA) would be growing 2.2% in 2017 and 2.4% in 2018, according to Consensus Forecast. In addition, inflation would be at 2.3% and 2.2% in 2017 and 2018, respectively. Recently, the International Monetary Fund adjusted its growth forecasts for the US economy downwards, while the market expects the monetary policy to continue normalizing with further rate increases by the Federal Reserve this year. On the other hand, in the Euro Zone, economic activity would continue to expand around the potential, registering annual rates of 1.8% in 2017 and 1.6% in 2018. Inflation in this block of countries would remain below the target of 2.0% of GDP. European Central Bank, reaching 1.6% and 1.4% in 2017 and 2018, respectively.","06","17",3
"For Latin America, a recovery from the recession is expected in 2017, with the exception of Venezuela, which would continue to show negative growth. The projections indicate that the region would expand by 1.6% this year and 2.5% by 2018, driven by more favorable terms of trade, particularly for the commodity exporting economies. In the case of the countries of South America, forecasts of oil prices of around US $ 50 per barrel would imply an improvement over the past two years. In terms of international financial conditions, despite the increases in the monetary policy rate in the United States, a high degree of liquidity is maintained, being favorable for emerging economies.","06","17",4
"In the domestic sphere, economic activity tends to converge gradually to its potential of 5.0%, in line with that contemplated in the Monetary Program. Credit to the private sector in national currency increases around an interannual rate of 11.0%, above the expected growth for production in nominal terms.","06","17",5
"On the fiscal side, budget execution indicates a policy of reducing spending that points to a deficit by the end of the year, below the target set in the National Budget of -2.3% of GDP. In that sense, as of May, the year-on-year growth in public spending was negative, while collections were above the level estimated in the Budget. As a result of this behavior of revenues and expenses, the non-financial public sector deficit at the end of May was -0.5% of GDP estimated for the end of the year.","06","17",6
"With regard to external accounts, foreign exchange generating activities maintain a good performance, contributing to the strengthening of international reserves and facilitating the maintenance of the relative stability of the exchange rate. In this regard, it should be noted that in the first quarter of the year, the accumulated revenues from tourism and remittances amounted to US $ 1,979 million and US $ 1,455 million, respectively. Similarly, the arrival of non-resident passengers increased by 6.7% in interannual terms as of May.","06","17",7
"The Central Bank of the Dominican Republic reaffirms its commitment to conduct monetary policy to achieve its inflation target and maintain macroeconomic stability. In that sense, it will continue to monitor the evolution of the world economy and the domestic situation, in order to adopt the necessary measures against possible risks on price stability and the proper functioning of the financial and payment systems.","06","17",8
"At its monetary policy meeting in June 2018, the Central Bank of the Dominican Republic (BCRD) decided to keep its monetary policy interest rate at 5.25% per annum.","06","18",1
"The decision to leave the reference rate unchanged was taken after exhaustively analyzing the balance of risks around inflation projections, the main national macroeconomic indicators, the relevant international environment, market expectations and medium-term forecasts. term. In a particular way, it was observed that in a context of economic growth above the potential and high credit dynamism, inflation continues within the target range, while the macroeconomic fundamentals remain strong, reflected in the good performance of the accounts fiscal and foreign exchange generating activities.","06","18",2
"The accumulated inflation during the five months elapsed in the year amounts to 1.22%, as a monthly variation of 0.26% was observed in the consumer price index in May. The inter-annual inflation rate, from May 2017 to May 2018, was 4.47%, centered around the target range of 4.0% <U+00B1> 1.0% established in the Monetary Program. Likewise, core inflation, linked to monetary conditions, was placed at 2.70% year-on-year. Forecasts indicate that inflation would remain within the target range in the two-year monetary policy horizon.","06","18",3
"In the international environment, the relevant economic panorama maintains a positive trend, projecting, according to Consensus Forecast, a growth of the world economy around 3.3% in 2018 and 3.2% in 2019. In that sense, the United States of America (USA) would grow 2.9% in 2018 and 2.6% in 2019, at the same time that the economy of the Euro Zone would expand by 2.2% and 1.8%, respectively, during those years.","06","18",4
"Emerging economies maintain a favorable outlook in the medium term, despite the uncertainty surrounding trade policy globally. In that sense, the Latin American economies would grow by an average of 2.1% in 2018 and 2.6% in 2019, with the Dominican Republic and Panama being the fastest growing economies. Venezuela would be the only economy in recession in the region when projecting contraction rates of -11.7% in 2018 and -2.5% in 2019","06","18",5
"International financial conditions remain relatively favorable for emerging economies. However, to the extent that monetary policy in the US accelerates normalization and capital flows to that economy by pressing the dollar to the appreciation, these conditions could become restrictive.","06","18",6
"International oil prices have resumed an upward trend attributable to growing demand due to global economic expansion, as well as restrictions in the supply of crude and geopolitical factors. These conditions represent external inflationary pressures in the short term.","06","18",7
"In the domestic context, economic activity continues to evolve favorably, as can be observed in the trajectory of the monthly indicator of economic activity (IMAE). In effect, according to preliminary data, the IMAE registered an accumulated growth of 6.6% in the period January-May. In this way, the IMAE trend-cycle expands at an annual rate of 6.9% in the month of May, showing that the economy will continue to grow above its potential throughout the year.","06","18",8
"Reflecting this dynamic, loans to the private sector in local currency continue to grow about 13% year-on-year as of June, while monetary aggregates show growth rates above the estimated nominal GDP expansion. On the fiscal policy side, preliminary figures show that as of May the Non-Financial Public Sector registered a surplus of around 0.2% of GDP. At that date, revenues from collections are above the budgeted amounts while public spending grows around 5.0%, which is consistent with the deficit target of -2.2% of GDP established in the 2018 Budget. ","06","18",9
"In the external sector, the dynamism registered in the foreign currency generating activities substantially contributes to moderate the impact of higher oil prices on the Dominican economy, which facilitates the maintenance of the relative stability of the exchange rate and the strengthening of reserves. international","06","18",10
"The Central Bank of the Dominican Republic reaffirms its commitment to conduct monetary policy aimed at achieving the inflation target and maintaining macroeconomic stability. In this sense, it will continue to monitor the evolution of the world economy, as well as the main risks in the domestic context, in order to adopt the necessary measures in the face of possible effects on price stability and the proper functioning of the financial and payment systems.","06","18",11
"BCRD cuts its monetary policy rate to 5.00% per year","06","19",1
"Santo Domingo, Dominican Republic. At its monetary policy meeting in June 2019, the Central Bank of the Dominican Republic (BCRD) decided to reduce its monetary policy interest rate by 50 basis points from 5.50% to 5.00% per year. According to the BCRD's short-term liquidity management scheme, the rate of paid deposits (overnight) decreases from 4.00% to 3.50% per year and the rate of permanent ease of expansion (repos) is reduced from 7.00% to 6.50% per year.","06","19",2
"The decision to reduce the benchmark rate is based on detailed risk balance analysis for inflation forecasts, including international and domestic macroeconomic indicators, market expectations and medium-term projections. May's monthly inflation was -0.03%, while cumulative inflation in the first five months of the year fell to 1.36%. On the other hand, year-on-year inflation, i.e. from May 2018 to May 2019, fell to 1.31%, placing for the seventh consecutive month below the lower bound of the target range. Similarly, underlying inflation, reflecting monetary conditions by excluding prices of more volatile goods such as food and fuels, fell to 1.98% in May, while a downward revision in economic analyst inflation expectations for the entire monetary policy horizon was observed. Considering this decision, the BCRD forecasting system indicates that inflation would remain below the lower bound of the target range of 4.0% to 1.0% until the end of 2019, converging at the centre of the target by 2020.","06","19",3
"Uncertainty has increased in the international environment, as geopolitical risks are heightened and trade disputes between larger economies persist. The slowdown in global economic activity has also continued. Faced with these conditions, the growth outlook for the global economy has been revised again downwards, with an expansion of 2.7% in both 2019 and 2020, according to Consensus Forecasts. br>","06","19",4
"The performance of advanced economies remains led by the United States of America,S.A.), although current indicators show signs that this economy could slow in the medium term. Indeed, Consensus's outlook for U.S. growth has declined, noting that the economy would move from an expansion of 3.6% in 2018 to 2.5% in 2019 and to 1.8% in 2020. In this context, the Fed indicated that, in the face of increased uncertainty, it is prepared to implement expansive monetary measures to help sustain growth and avoid inflationary diversions, so market analysts expect a reduction in the benchmark interest rate at the next meeting in July.","06","19",5
"In addition, the growth outlook for the Euro Zone (ZE) remains low, with expansions of 1.1% in 2019 and 1.3% in 2020, according to Consensus. Considering this picture and low inflationary pressures, the European Central Bank has stressed that it is assessing to reduce its monetary policy rate and implement new liquidity provision programmes, should economic conditions continue to deteriorate for this bloc of countries.","06","19",6
"In Latin America, growth forecasts have been lowered for almost all economies, with 1.1% expansion expected for the region in 2019. It is important to stress that the behavior within the region is heterogeneous. On the one hand, recessionary conditions for Venezuela, Argentina and Nicaragua are accentuated, while the two largest economies, Brazil and Mexico, are projected to grow by around 1.0%. On the other hand, a group of economies would continue to grow in a healthy way, such as Panama, Peru and Bolivia, and in particular the Dominican Republic, which would record the largest expansion in Latin America this year.","06","19",7
"In relation to raw materials, recent volatility in oil prices has been associated with escalation of geopolitical conflicts in some of the major crude oil-producing economies. However, projections suggest that the average price of Texas intermediate oil (WTI) during 2019 would not exceed the value stipulated in the National Budget of US$60.5 a barrel, due to structural factors such as moderation in global demand and increased U.S. oil production capacity.","06","19",8
"In the domestic context, according to preliminary information from the Monthly Economic Activity Index (IMAE), the economy expanded by 5.1% in the January-May period, moderating against the 5.7% growth observed in the first quarter of the year. The behaviour of economic activity reflected a slowdown in private investment, associated with external and internal uncertainty factors.","06","19",9
"In a context of low inflationary pressures, the BCRD's decision to reduce the monetary policy rate, together with recent measures to free resources from the legal loophole, will speed up the mechanism for the transmission of monetary policy through a decrease in financial system interest rates and the dynamization of private credit, which will help boost economic growth around the levels provided for in the 5.5% Monetary Programme.","06","19",10
"With regard to fiscal policy, the process of consolidation of public finances is maintained, with a primary surplus expected to be reached during 2019, as envisaged in the National Budget. In the external sector, foreign exchange-generating activities, such as foreign direct investment, remittances and, to some extent, tourism, would continue to contribute to relative exchange rate stability and facilitate the accumulation of international reserves.","06","19",11
"The Central Bank of the Dominican Republic reaffirms its commitment to driving monetary policy towards achieving its inflation target and the smooth functioning of financial and payment systems, thus contributing to the maintenance of macroeconomic stability. In this regard, the issuing ministry will continue to monitor the moderation of the world economy and the uncertainty factors of the international environment, as well as its possible impact on the performance of domestic demand, being prepared to react in a timely manner to factors that may lead to deviations from the macroeconomic goals of the Monetary Programme.","06","19",12
"BCRD keeps its monetary policy rate at 3.50% per year","06","20",1
"Santo Domingo, Dominican Republic. At its monetary policy meeting in June 2020, the Central Bank of the Dominican Republic (BCRD) decided to keep its monetary policy interest rate at 3.50% per annum. In addition, the interest rate for the permanent ease of expansion (Repos to 1 day) remains at 4.50% per annum, while the interest rate on paid deposits (Overnight) stands at 2.50% per year.","06","20",2
"The decision on the benchmark rate is based on a comprehensive analysis of the impact of the current uncertainty on macroeconomic stability and future inflation developments. In this sense, May's monthly inflation was -0.11%, while the inflation accumulated during the first four months of the year was -1.25%. On the other hand, year-on-year inflation, i.e. from May 2019 to May 2020, moderated to 0.99%, below the target range of 4.0% to 1.0%, while the underlying inflation, reflecting monetary conditions, reached 3.10%. Moving forward, the BCRD's forecasting system notes that inflation would recover gradually, placing at the end of the year around the lower bound of the target range, which grants the BCRD degrees of freedom to maintain an expansive monetary policy stance aimed at mitigating COVID-19's adverse impact on the Dominican economy.","06","20",3
"High uncertainty prevails in the international environment, even though, in those economies that have passed the most critical phases of the pandemic, containment measures that forced the cessation of productive activities and which have widespreadly deteriorated economic activity have begun to be lifted. In this regard, Consensus Forecasts and the International Monetary Fund (IMF) significantly reduced global growth projections, estimating contractions of 4.7% and 4.9% in 2020, respectively. In response to the weakening of global growth, central banks around the world continue to implement monetary easing and liquidity provision measures to support their countries' domestic demands.","06","20",4
"In the United States of America (USA), the IMF projects that economic activity would contract this year, moving from an expansion of 2.3% in 2019 to -8.0% by 2020. Indeed, growth in the U.S. economy moderated to 0.3% year-on-year during the first quarter, while the labour market deteriorated during this period. However, in recent months several indicators begin to show signs of a recovery, including the reduction in unemployment from 14.7% in April to 13.3% in May, as well as ups and turns off retail sales and consumption of durable goods. In this context of low growth and lack of inflation, the Federal Reserve (Fed) has adopted a group of expansive monetary measures, with the federal funds rate expected to remain in the range of 0% - 0.25% until 2022. In addition, the Fed continues to implement various quantitative easing programs by injecting liquidity through Repos, purchases of public and private securities in the secondary market, and credit channeling programs for micro, small and medium-sized enterprises.","06","20",5
"As for the Eurozone, COVID-19 is projected to cause an even greater contraction in this bloc of countries, from growth of 1.3% in 2019 to -10.2% by 2020, according to the IMF, affected by falling industrial production and disruptions in international trade. In response to this difficult outlook, the European Central Bank (ECB) keeps the short-term deposit rate (Overnight) at -0.50% per annum, while easing the terms of the private credit channelling programme through financial institutions and expanded the programme for the purchase of public and private securities on the secondary market.","06","20",6
"On the other hand, the high uncertainty caused by the pandemic has led to an increase in volatility in capital flows and affected the growth prospects of emerging economies, leading to a widespread depreciation of their currencies against the US dollar. In particular, Latin America, already facing a weakened economic situation, has been affected by lower commodity prices and a global tourism flow, causing the IMF to project a regional contraction of -9.4% by 2020. In this context, central banks in the region continue to implement liquidity provision and credit channeling programmes to the private sector in a widespread manner.","06","20",7
" ","06","20",8
"In relation to raw materials, the price of Texas intermediate oil (WTI) is gradually rising, influenced by the production cut of the Organization of petroleum exporting countries (OPEC) and its allies. Thus, projections indicate that the average WTI price for 2020 would be around $35 a barrel, below the value of about US$60 per barrel initially expected in the National Budget. On the other hand, the price of gold remains above $1,700 per troy ounce, being used as a haven of value in a context of high uncertainty. Commodity price performance benefits the terms of trade for the Dominican Republic, which would partially offset, through the oil bill and gold exports, the negative impact the pandemic has had on the activities of the external sector due to the contraction of the world economy.","06","20",9
"Importantly, at the time of coVID-19 containment measures in the Dominican Republic, the economy was in a favourable cyclical position, characterized by growth around potential and low inflationary pressures. These strong macroeconomic fundamentals have given the flexibility to take expansive monetary measures to accommodate the adverse shock. Indeed, preliminary information from the Monthly Economic Activity Index (IMAE) indicates that economic activity slowed significantly in March and April in relation to the pace of expansion observed in January and February, thus recording a cumulative average year-on-year variation of -7.5% in the first four months of 2020.","06","20",10
"In this context, the Central Bank continues to implement a set of monetary and financial measures aimed at mitigating the effects of coronavirus through increased financing for productive sectors and households at lower interest rates. In particular, of the total RD$ 120 billion that have been made available to financial intermediation entities (equivalent to a monetary stimulus of about 3 percentage points of GDP), some RD$ 80 billion have been channeled through different facilities, with an RD$ 40 billion being made available to continue to support productive activity and contribute to a rapid recovery in domestic demand during the rest of the year.","06","20",11
"As a result of monetary measures, there has been a significant reduction in interest rates on loans from multiple banks and greater dynamism in monetary aggregates. In addition, favourable monetary conditions have contributed to an acceleration of credit to the private sector in national currency that expands above 14.0% year-on-year, highlighting the channeling of loans to the Manufacturing, Hotels and Restaurants, Trade and Construction sectors.","06","20",12
"On the other hand, the pandemic has significantly affected public finances, due to a drop in tax revenues due to economic slowdowns and tax relief facilities, as well as increased public spending associated with social programmes aimed at preserving employment and implementing sanitative measures. In this regard, the Central Government deficit is projected to increase from -2.2% of GDP in the original budget to -5.0% of GDP, according to the updated estimates contained in the budget amendment approved by the National Congress.","06","20",13
"On the other hand, it should be emphasized that the measures to provide liquidity in foreign currency of some US$ 622 million and the interventions in the foreign exchange market that have taken place during this year have contributed to the lower currency flow associated with the paralysis of tourism, the reduction of remittances and the moderation of exports and foreign direct investment , in a context in which demand for dollars has increased markedly for precautionary reasons in the face of high uncertainty. In addition, it is emphasized that the high levels of International Reserves of the Central Bank will allow the institution to continue to support the foreign exchange market, in such a way that the foreign exchange needs of economic operators and the general public are met, helping to maintain the relative stability of the exchange rate in the face of a convulsive international environment.","06","20",14
"The Central Bank of the Dominican Republic reaffirms its commitment to drive monetary policy towards achieving its inflation target and the smooth functioning of financial and payment systems, thus contributing to the maintenance of macroeconomic stability. In this regard, the institution will continue to monitor the impact of COVID-19 on the Dominican economy, being prepared to continue reacting in a timely manner to factors that could jeopardize the inflation target and affect macroeconomic stability.","06","20",15
"The Central Bank of the Dominican Republic, in its Monetary Policy Meeting of July 2012, decided, effective as of August 1, 2012, to reduce by 50 basis points its Monetary Policy Interest Rate (Overnight), of 6.00 % to 5.50% per year. At the same time, it decided to reduce the Lombard Tax Rate by 50 basis points, from 8.00% to 7.50% per annum.","07","12",1
"The decision regarding the reference interest rate is based on the fact that the projections confirm that the inflation rate would continue below the lower limit of the goal of 5.50% <U+00B1> 1.00% for this year 2012. Indeed, in In June, the interannual rate of inflation was 2.71% and the accumulated rate of January-June was 0.89%, while the interannual core inflation reached 3.36%. The forecast models do not foresee significant inflationary pressures in the monetary policy horizon.","07","12",2
"In the external context, the United States economy reflects lower than expected growth. In the case of the Eurozone, whose economy remains in a recessive state, recent announcements by the European Central Bank have been received with reserved optimism and fiscal risks remain high. In emerging economies, economic activity also shows a slight deceleration. Faced with reduced inflationary pressures, central banks, both in advanced countries and in emerging economies, have been compelled to apply expansive monetary policies. International prices of primary goods are lower than in 2011, except for some basic foods that have been affected by the drought in the United States.","07","12",3
"In the domestic sphere, the indicators of production and domestic demand show an evolution below their long-term trend or potential capacity. Credit to the private sector continues to exhibit slow growth while, given the low expectations of inflation, real interest rates have risen.","07","12",4
"With the measure of reduction of interest rates of policy expected a reactivation of credit and domestic demand. Inflation and growth expectations remain aligned with the forecasts published in the recent Monetary Policy Report.","07","12",5
"The Central Bank reaffirms its commitment to direct monetary policy towards the achievement of the inflation target, while continuing to monitor the evolution of the world economy and the domestic situation, in order to react in a timely manner to risks regarding price stability and price stability. good functioning of the financial and payment systems.","07","12",6
"At its monetary policy meeting in July 2013, the Central Bank of the Dominican Republic decided to maintain its monetary policy interest rate (MPR) at 4.25% per annum.","07","13",1
"The decision to leave the reference rate unchanged is based on the analysis of the risk balance on the inflation projections. In this way, forecast models and market expectations indicate that inflation would be within the target in the monetary policy horizon. The inter-annual inflation rate, June 2012-June 2013, stood at 4.80%, accumulating 1.76% in the first six months of the year and influenced by a monthly variation of 0.04%. Likewise, the interannual core inflation stood at 5.10%.","07","13",2
"In the external context, faced with expectations of gradual de-escalation of the monetary stimulus by the Federal Reserve of the United States of America, international financial conditions have become more restrictive due to the reversal of capital flows, especially from emerging economies. In recent months, the US dollar has strengthened against most currencies worldwide. Particularly in Latin America, in the course of 2013, there have been depreciations of the exchange rate in countries such as Argentina (10.3%), Brazil (9.1%), Uruguay (9.1%), Peru (8.5%), Colombia (6.3%). ) and Chile (5.3%), higher than the one observed in the Dominican Republic of 3.9% so far this year.","07","13",3
"On the other hand, the Euro Zone remains in recession projecting a fall of 0.6% for 2013 while the growth projections for Latin America are located at 3.0%, according to the Consensus Forecast, consistent with the downward revision in prospects of growth of emerging economies. The prices of raw materials in world markets show a mixed picture, manifested in reductions in food and metals, and increases in fuels.","07","13",4
"In the domestic sphere, economic activity and domestic demand point to a moderate improvement for the second half of the year, influenced by the combination of monetary and fiscal stimulus measures. Credit to the private sector in national currency accelerated in July, growing at an annual rate of around 13.5%, influenced by the placement of more than RD $ 12 billion of the resources released from the reserve requirement, more than 60% of the approved amount, as well as for the flexibilization of current regulations for debtors minors. This trend of credit expansion, together with higher public investment spending, would continue to boost the dynamism of economic activity.","07","13",5
"The Central Bank reaffirms its commitment to conduct monetary policy to achieve its inflation target, while continuing to monitor the evolution of the world economy and the domestic situation in order to take the necessary measures against risks on price stability and the proper functioning of the financial and payment systems.","07","13",6
"In its monetary policy meeting corresponding to the month of July 2014, the Central Bank of the Dominican Republic decided to keep the monetary policy interest rate unchanged at 6.25% per annum.","07","14",1
"The decision regarding the reference rate took into account the balance of risks around the inflation projections, as well as the performance of the rest of the main macroeconomic indicators and market expectations. In June, the interannual rate of inflation fell to 3.68%, remaining around the lower end of the target range for 2014 of 4.5% <U+00B1> 1%. The accumulated inflation in the six months computed of the year is 1.56%. Likewise, the interannual core inflation, which is related to monetary conditions, was reduced to 3.32% at the end of June.","07","14",2
"Externally, growth projections for the world economy have been adjusted downwards for 2014, due to a combination of US economic performance below expectations and a reduction in the growth prospects of emerging countries, in an environment affected by climatic and geopolitical risks. In that sense, according to the Consensus Forecast, the economy of the United States of America points to an expansion rate of around 1.6% in 2014, despite the fact that it reported a growth rate estimated at 4.0% for the second quarter of the year. In that order, the downward adjustment in the growth prospects in 2014 is seen by the markets as temporary, since for 2015 the US economy is expected to grow around 3.0%.","07","14",3
"On the other hand, the Euro Zone continues the recovery process initiated last year. It is expected that by 2014 the economy of the Zone will increase by 1.1%, accelerating its growth to 1.6% by 2015. This trend of expansion observed in Europe significantly reduces the risks of deflation in the forecast horizon. In the case of Latin America, growth projections have been cut to 1.7% in 2014 and 2.6% in 2015, due to the influence of low growth exhibited by large economies such as Brazil and Mexico, while negative rates are expected in Venezuela and Argentina.","07","14",4
"In the domestic sphere, the positive economic dynamic is maintained, pointing towards a projected growth rate consistent with the Macroeconomic Framework for the end of the year, of 4.5%. In the same way, credit to the private sector in national currency grows above 13.0% year-on-year, higher than the nominal product projection for the end of the year. This rate of expansion in private loans in national currency would remain in the second half of the year. On the other hand, fiscal policy is carried out in line with the provisions of the General State Budget Law, while the behavior of the external sector continues to show improvement with respect to what was expected. In this environment of fiscal prudence and a downward trend of the deficit in the current account of the balance of payments, supported by higher revenues from mining exports, the free zone sector and tourism, the relative stability of the exchange rate is maintained.","07","14",5
"The Central Bank reaffirms its commitment to conduct monetary policy to achieve its inflation target, while continuing to monitor the evolution of the world economy and the domestic situation in order to take the necessary measures against risks on price stability and the proper functioning of the financial and payment systems.","07","14",6
"At its monetary policy meeting in July 2015, the Central Bank of the Dominican Republic (BCRD) decided to keep its monetary policy interest rate at 5.00% per annum.","07","15",1
"The decision on the reference rate was made after examining the national macroeconomic panorama, mainly the balance of risks around the inflation projections and the expectations of the private sector, as well as the relevant international environment for the Dominican economy. It was observed that the interannual rate of inflation in the month of June amounted to 0.62%. In cumulative terms, inflation stood at 0.60% at the end of that month. Likewise, core inflation, related to the monetary conditions of the economy, stood at 2.32% year-on-year in June. Forecasts continue to indicate that inflation would remain below the lower limit of the target established in the Monetary Program for 2015, converging to the center of the range of 4.0% <U+00B1> 1.0% in the monetary policy horizon.","07","15",2
"In the external environment, according to the Consensus Forecast, a year-on-year growth of the United States of America (USA) of 2.4% is expected for 2015 and 2.8% for 2016. Under this premise, it is expected that the US Federal Reserve will begin its normalization process monetary policy in the last quarter of the year and that inflation will gradually converge towards the goal by the end of 2016, after reaching the unemployment target of around 5.25%. In the case of the Euro Zone, the Consensus Forecast forecasts a product expansion of 1.5% for 2015 and 1.8% for 2016. Although there is still uncertainty regarding the outcome of the crisis situation in Greece, the effects on volatility in the markets of capital have tended to moderate. The projections for Latin America were revised downwards and suggest that the economy would not grow in 2015, increasing around 1.5% in 2016. However, this projection is highly influenced by the deteriorating situation of Venezuela's growth. If this country is excluded from the sample, Latin America would grow close to 0.7% in 2015 and 2.0% in 2016.","07","15",3
"In terms of raw material prices, the correction in the stock markets of China, the second largest economy in the world, has been reflected in significant reductions accompanied by a tendency for the dollar to appreciate worldwide. In this context, conservative forecasts on the performance of the world economy in the medium term are maintained.","07","15",4
"In the domestic sphere, internal production, demand and employment expand according to the expected trajectory. The cycle trend of the monthly indicator of economic activity (IMAE) at the end of May shows a year-on-year growth rate of around 6.1%, having revised the GDP growth of the first quarter of the year from 6.5% to 6.6%. Likewise, credit to the private sector in national currency grows at an annual rate of around 11.5% per month of July. On the fiscal policy side, public accounts continue to show a surplus as of May, indicating that by the end of this year a primary surplus would be created, in excess of the one established in the 2015 National Budget. The current level of public debt consolidated is around 46.0% of GDP, below the regional average. In the same way, the external accounts evolve favorably, projecting a current account deficit of the Balance of Payments around 2.0% of the GDP for the closing of the year. This trend would benefit the relative stability of the foreign exchange market, as well as the accumulation of international reserves that currently stand at around 3.4 months of imports.","07","15",5
